Initial Setting;number of classes;Number of attributes;Number of references;Max hierarchical concatenation;Max DIT;Maintainability;Understandability;Complexity;Reusability;
http://www.pylon.org/Pylon;4.0;9.0;50.0;0.0;1.0;12.8;1.0;10.0;0.0;
http://pipenets.dualexec.com;5.0;6.0;2.0;2.0;1.0;3.2;2.0;6.0;0.6;
http://rules_core/1.0;15.0;6.0;1.0;2.0;1.0;5.0;2.4;2.4;0.72;
http://www.eclipse.org/gmf/2006/GraphicalDefinition;69.0;55.0;65.0;8.0;4.0;40.2;3.1304348;26.130436;0.77099234;
http://spray.eclipselabs.org/examples/Conceptmap;7.0;7.0;1.0;2.0;1.0;3.6;2.4285715;8.428572;0.42857143;
http://eclipse.org/graphiti/mm;43.0;43.0;62.0;7.0;5.0;32.0;3.8139534;64.81395;0.75581396;
http://collaborativemdeprocess/1.0;6.0;12.0;14.0;0.0;5.0;7.4;1.0;2.0;0.0;
platform:/resource/de.cau.cs.kieler.sim.ptolemy/moml.xsd;24.0;101.0;61.0;1.0;1.0;37.6;1.0416666;1.0416666;0.0121951215;
http:///expression.ecore;2.0;1.0;6.0;0.0;1.0;2.0;1.0;1.0;0.0;
http://klaper.sourceforge.net/metamodels/simulator/1.0;29.0;17.0;18.0;1.0;4.0;13.8;1.6551725;6.6551723;0.40677965;
http://mdsd.altimos.de/majordomo/1.0;46.0;31.0;10.0;5.0;2.0;18.8;2.6956522;34.695652;0.5060241;
http://www.obeonetwork.org/dsl/typeslibrary/1.0;11.0;8.0;9.0;1.0;2.0;6.2;1.5454545;6.5454545;0.1904762;
org.eclipse.mylyn.reviews;5.0;2.0;10.0;1.0;1.0;3.8;1.4;3.4;0.14285715;
dk.itu.oclExamples;1.0;0.0;2.0;0.0;0.0;0.6;1.0;1.0;0.0;
http://www.omg.org/space/xtce;207.0;291.0;222.0;4.0;5.0;145.8;1.5748792;1.5748792;0.465625;
http://www.diva.org/diva;49.0;47.0;22.0;3.0;6.0;25.4;2.7142856;23.714287;0.5660377;
http://eclectic.org/frontend/imperativeL;13.0;5.0;1.0;1.0;2.0;4.4;1.3076923;1.3076923;0.0;
http:///fr/labsticc/framework/constraints;10.0;11.0;10.0;2.0;1.0;6.8;2.3;15.3;0.6111111;
http://extjs.w3des.net/1.0;10.0;3.0;12.0;2.0;2.0;5.8;2.0;2.0;0.63414633;
http://www.uqbar.org/hoope/HOOPL;6.0;7.0;3.0;1.0;1.0;3.6;1.5;1.5;0.23076923;
cloud;13.0;14.0;2.0;1.0;2.0;6.4;1.1538461;10.153846;0.11111111;
http://es.makestrid.premf.transactionmodel/1.0;1.0;0.0;2.0;0.0;0.0;0.6;1.0;1.0;0.0;
http:///org/eclipse/tigerstripe/workbench/annotation/modelreference.ecore;1.0;0.0;1.0;0.0;0.0;0.4;1.0;1.0;0.0;
platform:/resource/BDDCTransform/model/TransformModel.ecore;14.0;10.0;12.0;1.0;2.0;7.8;1.5714285;2.5714285;0.0;
